employee_id,employee_name,gender,age,department,designation,salary,experience,joining_date,city,state,manager_name,performance_rating,attendance_percentage,active
59,Employee_59,Male,30,Marketing,Engineer,-15000,1,03-01-2023,Delhi,Maharashtra,Neha,6,92,True
60,Employee_60,Female,-3,Marketing,Engineer,-15000,1,2023-03-02,Delhi,Rajasthan,,6,110,True
61,Employee_61,Male,36,IT,Analyst,45000,1,03/03/2023,Ahmedabad,Gujarat,,6,88,True
62,Employee_62,Male,36,Sales,Engineer,70000,-1,03-04-2023,Ahmedabad,Rajasthan,Rohit,5,97,True
63,,Male,30,Sales,Manager,70000,1,2023-03-05,Pune,Rajasthan,Neha,4,97,True
64,Employee_64,Male,30,Finance,Manager,45000,5,06/03/2023,Ahmedabad,Rajasthan,,6,88,True
65,Employee_65,Male,30,Marketing,Manager,25000,-1,03-07-2023,Jaipur,Maharashtra,Amit,4,97,True
66,Employee_66,Female,42,IT,Executive,45000,1,2023-03-08,Ahmedabad,Maharashtra,Rohit,3,97,False
67,Employee_67,Female,24,IT,Analyst,45000,-1,09/03/2023,Mumbai,Gujarat,Amit,5,92,True
68,Employee_68,Male,30,Marketing,Engineer,45000,5,03-10-2023,Delhi,Gujarat,,4,92,True
69,Employee_69,Female,24,Sales,Analyst,25000,-1,2023-03-11,Pune,Delhi,,5,110,False
70,Employee_70,Male,42,Finance,Manager,25000,3,12/03/2023,Mumbai,Delhi,Rohit,4,88,False
71,Employee_71,Female,42,Sales,Manager,45000,-1,03-13-2023,Jaipur,Gujarat,Amit,4,97,True
72,Employee_72,Male,-3,HR,Analyst,-15000,3,2023-03-14,Ahmedabad,Delhi,,,92,False
73,Employee_73,Male,-3,Sales,Manager,70000,-1,15/03/2023,Mumbai,Rajasthan,Neha,4,97,True
74,Employee_74,Female,42,IT,Manager,-15000,5,03-16-2023,Delhi,Rajasthan,Rohit,5,110,True
75,Employee_75,Female,-3,IT,Executive,25000,1,2023-03-17,Ahmedabad,Maharashtra,,6,97,True
76,Employee_76,Male,42,Finance,Engineer,45000,5,18/03/2023,Delhi,Gujarat,,4,110,False
77,Employee_77,Male,30,Finance,Analyst,-15000,3,03-19-2023,Jaipur,Gujarat,,6,110,True
78,Employee_78,Female,30,Sales,Engineer,70000,-1,2023-03-20,Pune,Gujarat,Neha,3,110,True
79,Employee_79,Male,42,Marketing,Analyst,-15000,3,21/03/2023,Ahmedabad,Maharashtra,,6,88,True
80,Employee_80,Male,42,Marketing,Analyst,-15000,-1,03-22-2023,Jaipur,Rajasthan,Rohit,6,92,False
81,Employee_81,Male,36,Marketing,Analyst,45000,1,2023-03-23,Delhi,Maharashtra,Amit,4,97,False
82,Employee_82,Male,24,Sales,Manager,-15000,-1,24/03/2023,Delhi,Delhi,Amit,6,88,True
83,Employee_83,Male,30,Marketing,Analyst,25000,-1,03-25-2023,Mumbai,Rajasthan,Rohit,3,88,False
84,,Male,36,HR,Engineer,-15000,3,2023-03-26,Ahmedabad,Maharashtra,Rohit,6,92,True
85,Employee_85,Male,-3,Marketing,Executive,70000,3,27/03/2023,Jaipur,Rajasthan,,6,110,False
86,Employee_86,Male,24,Sales,Executive,25000,-1,03-28-2023,Jaipur,Rajasthan,,4,110,False
87,Employee_87,Male,30,HR,Executive,45000,5,2023-03-29,Ahmedabad,Rajasthan,,5,110,False
88,Employee_88,Female,30,HR,Engineer,-15000,-1,30/03/2023,Pune,Gujarat,Rohit,3,88,False
89,Employee_89,Female,-3,Marketing,Executive,45000,5,03-31-2023,Mumbai,Maharashtra,,4,92,False
90,Employee_90,Female,36,Finance,Manager,-15000,-1,2023-04-01,Jaipur,Gujarat,Amit,,88,False
91,Employee_91,Male,-3,Marketing,Manager,70000,-1,02/04/2023,Ahmedabad,Delhi,Amit,6,92,True
92,Employee_92,Male,24,IT,Manager,70000,5,04-03-2023,Jaipur,Maharashtra,Amit,5,97,True
93,Employee_93,Female,36,Marketing,Analyst,45000,1,2023-04-04,Delhi,Delhi,Rohit,5,97,True
94,Employee_94,Male,30,IT,Engineer,45000,1,05/04/2023,Mumbai,Maharashtra,Rohit,3,88,True
95,Employee_95,Male,24,HR,Executive,45000,1,04-06-2023,Delhi,Maharashtra,,4,88,False
96,Employee_96,Male,36,Marketing,Analyst,-15000,-1,2023-04-07,Mumbai,Maharashtra,Rohit,6,92,True
97,Employee_97,Male,42,Finance,Manager,25000,5,08/04/2023,Delhi,Gujarat,,6,92,True
98,Employee_98,Male,-3,Marketing,Executive,-15000,-1,04-09-2023,Pune,Delhi,Amit,5,97,True
99,Employee_99,Female,42,Finance,Engineer,70000,5,2023-04-10,Mumbai,Gujarat,Amit,6,88,True
100,Employee_100,Female,42,IT,Executive,45000,5,11/04/2023,Pune,Rajasthan,Rohit,4,110,False
101,Employee_101,Female,-3,Sales,Analyst,70000,1,04-12-2023,Pune,Delhi,Amit,6,97,True
102,Employee_102,Male,-3,IT,Manager,45000,1,2023-04-13,Pune,Rajasthan,Rohit,6,110,True
103,Employee_103,Male,30,Finance,Executive,-15000,3,14/04/2023,Jaipur,Delhi,,6,97,False
104,Employee_104,Male,-3,IT,Analyst,45000,3,04-15-2023,Jaipur,Delhi,Rohit,5,97,True
105,,Female,36,Sales,Analyst,25000,-1,2023-04-16,Ahmedabad,Gujarat,Amit,3,88,True
106,Employee_106,Female,24,Sales,Engineer,25000,-1,17/04/2023,Mumbai,Delhi,Amit,4,97,False
107,Employee_107,Male,30,Marketing,Executive,-15000,-1,04-18-2023,Delhi,Maharashtra,Rohit,4,97,True
108,Employee_108,Male,30,Finance,Analyst,25000,5,2023-04-19,Mumbai,Gujarat,Amit,,88,True
109,Employee_109,Female,-3,HR,Manager,-15000,-1,20/04/2023,Delhi,Gujarat,Neha,3,110,False
110,Employee_110,Female,42,IT,Analyst,25000,-1,04-21-2023,Jaipur,Maharashtra,Neha,6,88,True
111,Employee_111,Female,-3,HR,Analyst,-15000,1,2023-04-22,Delhi,Gujarat,Amit,4,110,True
112,Employee_112,Male,30,Marketing,Engineer,45000,1,23/04/2023,Pune,Maharashtra,Amit,4,92,True
113,Employee_113,Female,-3,HR,Engineer,25000,5,04-24-2023,Jaipur,Rajasthan,,3,92,False
114,Employee_114,Male,24,HR,Manager,45000,3,2023-04-25,Ahmedabad,Delhi,,6,92,True
115,Employee_115,Female,42,Marketing,Engineer,70000,-1,26/04/2023,Jaipur,Delhi,Neha,3,97,False
116,Employee_116,Female,-3,IT,Analyst,25000,1,04-27-2023,Delhi,Rajasthan,Rohit,5,88,True
117,Employee_117,Female,-3,IT,Analyst,45000,3,2023-04-28,Delhi,Delhi,,5,110,False
118,Employee_118,Male,24,Marketing,Analyst,45000,5,29/04/2023,Jaipur,Gujarat,Neha,4,88,False
119,Employee_119,Female,-3,Sales,Engineer,25000,1,04-30-2023,Delhi,Gujarat,Neha,6,97,False
120,Employee_120,Female,30,Marketing,Manager,-15000,5,2023-05-01,Jaipur,Delhi,,3,110,True
121,Employee_121,Male,42,Sales,Executive,-15000,1,02/05/2023,Jaipur,Maharashtra,,4,92,True
122,Employee_122,Male,30,Sales,Executive,25000,-1,05-03-2023,Jaipur,Maharashtra,,5,88,True
123,Employee_123,Female,36,HR,Engineer,25000,-1,2023-05-04,Jaipur,Maharashtra,Neha,5,97,True
124,Employee_124,Female,30,Finance,Executive,45000,5,05/05/2023,Ahmedabad,Maharashtra,Amit,4,92,False
125,Employee_125,Female,24,HR,Engineer,45000,3,05-06-2023,Pune,Rajasthan,Rohit,4,92,True
126,,Female,30,IT,Analyst,70000,1,2023-05-07,Ahmedabad,Gujarat,,,97,True
127,Employee_127,Female,24,IT,Engineer,25000,5,08/05/2023,Jaipur,Delhi,Amit,6,88,True
128,Employee_128,Male,-3,Sales,Manager,45000,1,05-09-2023,Pune,Delhi,Amit,5,92,False
129,Employee_129,Female,-3,IT,Engineer,-15000,1,2023-05-10,Ahmedabad,Gujarat,Neha,6,97,True
130,Employee_130,Female,-3,Marketing,Executive,45000,1,11/05/2023,Mumbai,Delhi,Rohit,4,88,False
131,Employee_131,Female,42,Finance,Analyst,25000,5,05-12-2023,Ahmedabad,Rajasthan,,6,110,True
132,Employee_132,Male,42,Marketing,Engineer,70000,3,2023-05-13,Jaipur,Maharashtra,Neha,3,92,True
133,Employee_133,Female,42,IT,Analyst,25000,5,14/05/2023,Delhi,Rajasthan,Rohit,5,97,True
134,Employee_134,Male,-3,HR,Executive,70000,1,05-15-2023,Mumbai,Maharashtra,Neha,3,88,True
135,Employee_135,Female,30,Sales,Analyst,70000,1,2023-05-16,Jaipur,Delhi,Neha,3,97,True
136,Employee_136,Male,36,HR,Analyst,45000,1,17/05/2023,Pune,Delhi,Neha,6,97,False
137,Employee_137,Male,42,IT,Engineer,45000,5,05-18-2023,Ahmedabad,Maharashtra,Amit,3,110,False
138,Employee_138,Female,30,Finance,Engineer,70000,5,2023-05-19,Ahmedabad,Delhi,,3,110,True
139,Employee_139,Male,42,Sales,Analyst,45000,3,20/05/2023,Jaipur,Gujarat,Neha,4,92,False
140,Employee_140,Male,30,IT,Analyst,25000,5,05-21-2023,Pune,Gujarat,Neha,5,97,True
141,Employee_141,Female,36,Marketing,Executive,-15000,3,2023-05-22,Jaipur,Rajasthan,,5,92,True
142,Employee_142,Female,36,Finance,Engineer,-15000,1,23/05/2023,Ahmedabad,Delhi,Amit,4,110,False
143,Employee_143,Female,-3,Marketing,Engineer,45000,5,05-24-2023,Pune,Delhi,,6,88,True
144,Employee_144,Female,-3,Marketing,Manager,25000,-1,2023-05-25,Jaipur,Gujarat,Rohit,,110,True
145,Employee_145,Female,24,IT,Analyst,45000,3,26/05/2023,Delhi,Gujarat,Neha,5,97,True
146,Employee_146,Male,30,Marketing,Analyst,25000,3,05-27-2023,Pune,Delhi,Amit,3,88,True
147,,Female,30,Finance,Engineer,25000,-1,2023-05-28,Pune,Delhi,Amit,3,88,True
148,Employee_148,Male,36,Marketing,Engineer,-15000,5,29/05/2023,Pune,Delhi,,6,88,False
149,Employee_149,Female,24,HR,Executive,25000,-1,05-30-2023,Mumbai,Rajasthan,,4,92,True
150,Employee_150,Female,24,IT,Analyst,-15000,5,2023-05-31,Jaipur,Gujarat,Rohit,5,110,True
151,Employee_151,Female,36,HR,Engineer,25000,1,01/06/2023,Mumbai,Maharashtra,Rohit,3,88,True
152,Employee_152,Male,-3,Finance,Executive,25000,-1,06-02-2023,Pune,Maharashtra,,6,88,True
153,Employee_153,Male,30,Sales,Manager,45000,-1,2023-06-03,Delhi,Maharashtra,Neha,4,97,False
154,Employee_154,Female,36,Sales,Analyst,25000,3,04/06/2023,Ahmedabad,Maharashtra,Amit,5,92,True
155,Employee_155,Male,24,Finance,Executive,25000,5,06-05-2023,Jaipur,Delhi,,6,110,False
156,Employee_156,Female,42,Sales,Executive,25000,1,2023-06-06,Jaipur,Rajasthan,,3,92,True
157,Employee_157,Female,30,Sales,Analyst,25000,-1,07/06/2023,Jaipur,Delhi,Neha,5,110,True
158,Employee_158,Female,30,IT,Engineer,45000,-1,06-08-2023,Pune,Rajasthan,,5,92,True
159,Employee_159,Female,36,IT,Executive,-15000,1,2023-06-09,Jaipur,Rajasthan,Neha,4,92,False
160,Employee_160,Male,24,HR,Engineer,-15000,-1,10/06/2023,Mumbai,Maharashtra,,5,110,False
161,Employee_161,Female,24,HR,Engineer,45000,3,06-11-2023,Pune,Rajasthan,Rohit,5,88,False
162,Employee_162,Male,42,HR,Manager,25000,5,2023-06-12,Pune,Delhi,,,92,True
163,Employee_163,Female,42,Sales,Engineer,45000,5,13/06/2023,Pune,Delhi,Rohit,6,92,False
164,Employee_164,Male,42,Sales,Analyst,-15000,-1,06-14-2023,Pune,Maharashtra,Rohit,5,92,True
165,Employee_165,Female,30,Sales,Engineer,25000,1,2023-06-15,Delhi,Maharashtra,,4,92,False
166,Employee_166,Male,24,HR,Analyst,-15000,5,16/06/2023,Pune,Rajasthan,Neha,4,97,False
167,Employee_167,Male,36,Finance,Executive,45000,3,06-17-2023,Jaipur,Delhi,,5,92,True
168,,Female,36,HR,Analyst,70000,3,2023-06-18,Mumbai,Rajasthan,Amit,5,88,True
169,Employee_169,Male,30,Sales,Engineer,45000,-1,19/06/2023,Delhi,Delhi,Neha,6,110,False
170,Employee_170,Male,36,Marketing,Engineer,45000,1,06-20-2023,Ahmedabad,Gujarat,,5,97,True
171,Employee_171,Female,24,HR,Analyst,70000,-1,2023-06-21,Ahmedabad,Maharashtra,Amit,6,92,True
172,Employee_172,Male,36,Finance,Manager,-15000,5,22/06/2023,Pune,Delhi,Amit,3,88,False
173,Employee_173,Male,-3,HR,Analyst,25000,1,06-23-2023,Jaipur,Delhi,Rohit,6,110,True
174,Employee_174,Male,36,Marketing,Engineer,45000,-1,2023-06-24,Delhi,Gujarat,,5,88,False
175,Employee_175,Female,-3,Marketing,Engineer,-15000,1,25/06/2023,Ahmedabad,Maharashtra,Amit,6,92,False
176,Employee_176,Female,30,IT,Executive,45000,-1,06-26-2023,Pune,Delhi,,3,92,True
177,Employee_177,Male,42,Finance,Analyst,70000,-1,2023-06-27,Pune,Rajasthan,Neha,6,92,True
178,Employee_178,Female,30,HR,Executive,70000,1,28/06/2023,Ahmedabad,Rajasthan,,5,97,True
179,Employee_179,Male,42,Marketing,Analyst,70000,-1,06-29-2023,Pune,Gujarat,Amit,6,88,False
180,Employee_180,Female,-3,Finance,Executive,45000,1,2023-06-30,Ahmedabad,Delhi,Neha,,97,True
181,Employee_181,Male,30,Marketing,Manager,45000,5,01/07/2023,Pune,Maharashtra,Neha,5,88,True
182,Employee_182,Male,42,Marketing,Analyst,25000,5,07-02-2023,Ahmedabad,Rajasthan,Amit,5,88,True
183,Employee_183,Male,30,Finance,Engineer,45000,3,2023-07-03,Jaipur,Delhi,,5,92,False
184,Employee_184,Female,30,IT,Executive,-15000,5,04/07/2023,Delhi,Gujarat,Amit,4,92,False
185,Employee_185,Male,-3,IT,Manager,70000,-1,07-05-2023,Ahmedabad,Gujarat,Amit,4,92,False
186,Employee_186,Male,42,HR,Analyst,70000,5,2023-07-06,Delhi,Gujarat,Amit,4,97,False
187,Employee_187,Male,30,Finance,Engineer,45000,3,07/07/2023,Jaipur,Maharashtra,,4,110,True
188,Employee_188,Female,30,IT,Analyst,25000,1,07-08-2023,Ahmedabad,Gujarat,Amit,5,97,True
189,,Female,-3,IT,Executive,-15000,3,2023-07-09,Pune,Maharashtra,Neha,6,110,True
190,Employee_190,Male,42,IT,Engineer,70000,3,10/07/2023,Ahmedabad,Gujarat,Neha,3,92,False
191,Employee_191,Female,-3,Marketing,Analyst,45000,5,07-11-2023,Mumbai,Delhi,Neha,6,97,True
192,Employee_192,Male,42,Marketing,Analyst,-15000,1,2023-07-12,Delhi,Gujarat,,6,110,False
193,Employee_193,Female,24,Sales,Analyst,70000,3,13/07/2023,Jaipur,Gujarat,,6,110,False
194,Employee_194,Male,30,HR,Analyst,-15000,-1,07-14-2023,Mumbai,Rajasthan,Rohit,6,97,True
195,Employee_195,Male,24,IT,Engineer,45000,3,2023-07-15,Delhi,Gujarat,Neha,5,97,False
196,Employee_196,Male,30,Marketing,Manager,45000,-1,16/07/2023,Delhi,Maharashtra,Rohit,6,88,True
197,Employee_197,Female,30,Marketing,Analyst,45000,5,07-17-2023,Delhi,Delhi,,4,110,False
198,Employee_198,Female,30,HR,Manager,70000,-1,2023-07-18,Delhi,Gujarat,Neha,,92,True
199,Employee_199,Female,24,Marketing,Executive,45000,5,19/07/2023,Ahmedabad,Maharashtra,Amit,6,88,True
200,Employee_200,Male,30,HR,Executive,-15000,3,07-20-2023,Ahmedabad,Gujarat,Rohit,5,97,False
201,Employee_201,Female,24,Marketing,Engineer,-15000,1,2023-07-21,Mumbai,Rajasthan,Neha,4,88,False
202,Employee_202,Male,36,Sales,Manager,25000,1,22/07/2023,Jaipur,Maharashtra,Amit,6,92,False
203,Employee_203,Female,36,Sales,Engineer,70000,1,07-23-2023,Pune,Rajasthan,Amit,4,92,True
204,Employee_204,Male,36,IT,Manager,-15000,5,2023-07-24,Ahmedabad,Delhi,Amit,6,97,True
205,Employee_205,Male,36,HR,Executive,25000,1,25/07/2023,Delhi,Maharashtra,Neha,4,92,False
206,Employee_206,Female,24,IT,Executive,-15000,5,07-26-2023,Jaipur,Rajasthan,Neha,6,110,True
207,Employee_207,Female,-3,IT,Manager,70000,1,2023-07-27,Mumbai,Rajasthan,Amit,5,92,True
208,Employee_208,Female,36,Marketing,Engineer,70000,-1,28/07/2023,Ahmedabad,Maharashtra,Amit,5,88,True
209,Employee_209,Female,24,Finance,Engineer,70000,-1,07-29-2023,Pune,Delhi,Rohit,6,88,False
210,,Female,30,Sales,Engineer,25000,1,2023-07-30,Jaipur,Rajasthan,,3,92,True
211,Employee_211,Female,-3,IT,Engineer,70000,5,31/07/2023,Jaipur,Rajasthan,,3,88,False
212,Employee_212,Female,36,Marketing,Engineer,70000,3,08-01-2023,Mumbai,Rajasthan,Amit,4,110,True
213,Employee_213,Male,30,Sales,Manager,45000,5,2023-08-02,Ahmedabad,Delhi,Neha,6,92,True
214,Employee_214,Female,-3,Finance,Analyst,25000,3,03/08/2023,Ahmedabad,Rajasthan,Amit,4,110,False
215,Employee_215,Female,42,HR,Manager,45000,3,08-04-2023,Mumbai,Delhi,Rohit,5,110,False
216,Employee_216,Female,24,Sales,Engineer,-15000,5,2023-08-05,Jaipur,Gujarat,Neha,,110,True
217,Employee_217,Male,-3,Sales,Manager,25000,1,06/08/2023,Mumbai,Rajasthan,Amit,5,110,True
218,Employee_218,Female,42,Marketing,Executive,-15000,-1,08-07-2023,Mumbai,Delhi,Rohit,5,92,False
219,Employee_219,Female,-3,IT,Manager,25000,3,2023-08-08,Ahmedabad,Gujarat,,3,110,False
220,Employee_220,Male,36,IT,Manager,70000,3,09/08/2023,Pune,Rajasthan,,5,92,False
221,Employee_221,Female,-3,IT,Manager,25000,1,08-10-2023,Jaipur,Maharashtra,Rohit,5,97,True
222,Employee_222,Female,36,Sales,Analyst,45000,3,2023-08-11,Mumbai,Maharashtra,Amit,5,97,False
223,Employee_223,Male,42,Finance,Executive,70000,5,12/08/2023,Jaipur,Rajasthan,Neha,3,110,True
224,Employee_224,Male,24,IT,Executive,-15000,3,08-13-2023,Mumbai,Rajasthan,Neha,4,110,False
225,Employee_225,Male,30,Marketing,Engineer,-15000,1,2023-08-14,Jaipur,Rajasthan,,5,92,True
226,Employee_226,Male,36,IT,Analyst,25000,5,15/08/2023,Jaipur,Gujarat,Amit,6,88,True
227,Employee_227,Male,-3,IT,Executive,45000,-1,08-16-2023,Jaipur,Maharashtra,Neha,4,97,True
228,Employee_228,Female,-3,Marketing,Engineer,25000,1,2023-08-17,Pune,Maharashtra,Amit,6,88,False
229,Employee_229,Male,42,Marketing,Executive,70000,3,18/08/2023,Ahmedabad,Rajasthan,Amit,3,88,True
230,Employee_230,Female,36,Marketing,Manager,-15000,-1,08-19-2023,Jaipur,Maharashtra,,3,97,True
231,,Female,42,IT,Executive,25000,1,2023-08-20,Jaipur,Gujarat,Rohit,6,92,False
232,Employee_232,Male,-3,HR,Manager,45000,3,21/08/2023,Mumbai,Gujarat,Rohit,4,110,True
233,Employee_233,Male,36,IT,Engineer,70000,5,08-22-2023,Delhi,Rajasthan,Neha,5,97,True
234,Employee_234,Male,30,Sales,Analyst,25000,-1,2023-08-23,Jaipur,Rajasthan,Rohit,,92,False
235,Employee_235,Female,-3,Sales,Manager,25000,5,24/08/2023,Mumbai,Maharashtra,,4,88,False
236,Employee_236,Female,42,Sales,Executive,45000,3,08-25-2023,Jaipur,Gujarat,Neha,6,110,False
237,Employee_237,Female,24,IT,Analyst,70000,5,2023-08-26,Pune,Delhi,Neha,3,92,False
238,Employee_238,Female,30,Finance,Executive,25000,3,27/08/2023,Delhi,Gujarat,Rohit,4,88,True
239,Employee_239,Female,30,IT,Executive,45000,-1,08-28-2023,Pune,Maharashtra,Neha,5,88,True
240,Employee_240,Male,30,Finance,Engineer,25000,5,2023-08-29,Pune,Gujarat,Amit,5,97,True
241,Employee_241,Male,24,Marketing,Executive,-15000,-1,30/08/2023,Mumbai,Rajasthan,Amit,3,88,False
242,Employee_242,Female,-3,IT,Analyst,25000,-1,08-31-2023,Ahmedabad,Rajasthan,Rohit,6,110,False
243,Employee_243,Female,24,Marketing,Executive,45000,5,2023-09-01,Ahmedabad,Maharashtra,Neha,5,110,True
244,Employee_244,Male,30,HR,Analyst,25000,1,02/09/2023,Delhi,Gujarat,,4,92,False
245,Employee_245,Male,30,Marketing,Engineer,25000,3,09-03-2023,Ahmedabad,Gujarat,Neha,5,110,False
246,Employee_246,Male,42,IT,Engineer,70000,3,2023-09-04,Delhi,Gujarat,Neha,5,97,True
247,Employee_247,Male,42,HR,Analyst,25000,-1,05/09/2023,Ahmedabad,Maharashtra,Rohit,5,110,False
248,Employee_248,Female,42,Finance,Engineer,-15000,-1,09-06-2023,Ahmedabad,Rajasthan,Amit,5,88,False
249,Employee_249,Male,24,Marketing,Engineer,-15000,5,2023-09-07,Jaipur,Gujarat,Neha,4,92,True
250,Employee_250,Male,30,HR,Engineer,25000,1,08/09/2023,Pune,Gujarat,Amit,3,97,True
