emp_id,emp_name,department,designation,salary,attendance_percentage,Experience_Level,attendance_status,city,state
894,Employee_894,Sales,Engineer,45000,97.0,Junior,Excellent,Jaipur,Gujarat
904,Employee_904,IT,Engineer,45000,110.0,Senior,Excellent,Ahmedabad,Gujarat
944,Employee_944,Sales,Engineer,25000,92.0,Mid Level,Excellent,Delhi,Gujarat
962,Employee_962,Marketing,Engineer,25000,110.0,Senior,Excellent,Jaipur,Maharashtra
1181,Employee_1181,HR,Engineer,45000,110.0,Mid Level,Excellent,Jaipur,Rajasthan
1315,Employee_1315,Marketing,Engineer,45000,97.0,Junior,Excellent,Delhi,Gujarat
187,Employee_187,Finance,Engineer,45000,110.0,Mid Level,Excellent,Jaipur,Maharashtra
216,Employee_216,Sales,Engineer,15000,110.0,Senior,Excellent,Jaipur,Gujarat
311,Employee_311,Marketing,Engineer,70000,97.0,Junior,Excellent,Mumbai,Gujarat
370,Employee_370,HR,Engineer,70000,110.0,Senior,Excellent,Ahmedabad,Maharashtra
449,Employee_449,HR,Engineer,25000,110.0,Mid Level,Excellent,Delhi,Maharashtra
487,Employee_487,Marketing,Engineer,70000,110.0,Junior,Excellent,Pune,Rajasthan
498,Employee_498,Sales,Engineer,45000,110.0,Junior,Excellent,Mumbai,Rajasthan
539,Employee_539,Sales,Engineer,25000,110.0,Mid Level,Excellent,Ahmedabad,Gujarat
548,Employee_548,Sales,Engineer,70000,92.0,Senior,Excellent,Ahmedabad,Maharashtra
597,Employee_597,Sales,Engineer,25000,110.0,Mid Level,Excellent,Delhi,Maharashtra
677,Employee_677,Marketing,Engineer,15000,92.0,Junior,Excellent,Mumbai,Delhi
992,Employee_992,Finance,Engineer,25000,92.0,Junior,Excellent,Jaipur,Maharashtra
1057,Employee_1057,Marketing,Engineer,25000,92.0,Junior,Excellent,Pune,Gujarat
1330,Employee_1330,Finance,Engineer,70000,92.0,Senior,Excellent,Delhi,Rajasthan
62,Employee_62,Sales,Engineer,70000,97.0,Junior,Excellent,Ahmedabad,Rajasthan
112,Employee_112,Marketing,Engineer,45000,92.0,Junior,Excellent,Pune,Maharashtra
115,Employee_115,Marketing,Engineer,70000,97.0,Junior,Excellent,Jaipur,Delhi
245,Employee_245,Marketing,Engineer,25000,110.0,Mid Level,Excellent,Ahmedabad,Gujarat
246,Employee_246,IT,Engineer,70000,97.0,Mid Level,Excellent,Delhi,Gujarat
360,Employee_360,HR,Engineer,45000,92.0,Mid Level,Excellent,Pune,Gujarat
506,Employee_506,Marketing,Engineer,25000,92.0,Junior,Excellent,Delhi,Rajasthan
544,Employee_544,HR,Engineer,45000,97.0,Junior,Excellent,Pune,Maharashtra
654,Employee_654,Marketing,Engineer,70000,92.0,Junior,Excellent,Delhi,Rajasthan
668,Employee_668,IT,Engineer,70000,92.0,Junior,Excellent,Ahmedabad,Gujarat
787,Employee_787,HR,Engineer,15000,92.0,Senior,Excellent,Jaipur,Rajasthan
788,Employee_788,Marketing,Engineer,15000,97.0,Mid Level,Excellent,Mumbai,Maharashtra
1070,Employee_1070,IT,Engineer,25000,110.0,Senior,Excellent,Ahmedabad,Gujarat
1301,Employee_1301,HR,Engineer,70000,97.0,Junior,Excellent,Pune,Rajasthan
175,Employee_175,Marketing,Engineer,15000,92.0,Junior,Excellent,Ahmedabad,Maharashtra
432,Employee_432,Finance,Engineer,70000,92.0,Mid Level,Excellent,Ahmedabad,Maharashtra
497,Employee_497,HR,Engineer,15000,92.0,Senior,Excellent,Mumbai,Delhi
730,Employee_730,Marketing,Engineer,70000,110.0,Junior,Excellent,Mumbai,Rajasthan
980,Employee_980,HR,Engineer,25000,97.0,Mid Level,Excellent,Mumbai,Rajasthan
1085,Employee_1085,HR,Engineer,45000,110.0,Junior,Excellent,Delhi,Rajasthan
1193,Employee_1193,Finance,Engineer,15000,92.0,Senior,Excellent,Mumbai,Gujarat
1198,Employee_1198,Marketing,Engineer,70000,97.0,Junior,Excellent,Delhi,Delhi
1255,Employee_1255,IT,Engineer,25000,97.0,Senior,Excellent,Delhi,Rajasthan
1259,Employee_1259,Marketing,Engineer,45000,110.0,Senior,Excellent,Delhi,Gujarat
1305,Employee_1305,IT,Engineer,45000,110.0,Junior,Excellent,Ahmedabad,Delhi
59,Employee_59,Marketing,Engineer,15000,92.0,Junior,Excellent,Delhi,Maharashtra
163,Employee_163,Sales,Engineer,45000,92.0,Senior,Excellent,Pune,Delhi
212,Employee_212,Marketing,Engineer,70000,110.0,Mid Level,Excellent,Mumbai,Rajasthan
249,Employee_249,Marketing,Engineer,15000,92.0,Senior,Excellent,Jaipur,Gujarat
274,Employee_274,HR,Engineer,15000,110.0,Junior,Excellent,Ahmedabad,Delhi
277,Employee_277,HR,Engineer,15000,97.0,Junior,Excellent,Pune,Delhi
350,Employee_350,Sales,Engineer,25000,92.0,Junior,Excellent,Delhi,Rajasthan
406,Employee_406,Finance,Engineer,15000,97.0,Senior,Excellent,Mumbai,Gujarat
465,Employee_465,HR,Engineer,15000,97.0,Senior,Excellent,Jaipur,Gujarat
533,Employee_533,Finance,Engineer,70000,97.0,Senior,Excellent,Mumbai,Gujarat
562,Employee_562,Sales,Engineer,70000,97.0,Senior,Excellent,Ahmedabad,Rajasthan
665,Employee_665,IT,Engineer,70000,97.0,Junior,Excellent,Delhi,Gujarat
720,Employee_720,Finance,Engineer,15000,97.0,Junior,Excellent,Delhi,Gujarat
744,Employee_744,Sales,Engineer,45000,110.0,Senior,Excellent,Ahmedabad,Rajasthan
833,Employee_833,Marketing,Engineer,25000,110.0,Senior,Excellent,Delhi,Gujarat
896,Employee_896,IT,Engineer,15000,97.0,Mid Level,Excellent,Mumbai,Gujarat
1093,Employee_1093,Finance,Engineer,45000,97.0,Junior,Excellent,Pune,Maharashtra
1160,Employee_1160,HR,Engineer,70000,110.0,Mid Level,Excellent,Jaipur,Rajasthan
1229,Employee_1229,IT,Engineer,70000,97.0,Senior,Excellent,Pune,Gujarat
1280,Employee_1280,Finance,Engineer,15000,110.0,Junior,Excellent,Mumbai,Delhi
160,Employee_160,HR,Engineer,15000,110.0,Junior,Excellent,Mumbai,Maharashtra
203,Employee_203,Sales,Engineer,70000,92.0,Junior,Excellent,Pune,Rajasthan
253,Employee_253,HR,Engineer,70000,92.0,Mid Level,Excellent,Pune,Delhi
290,Employee_290,Finance,Engineer,45000,92.0,Junior,Excellent,Jaipur,Maharashtra
382,Employee_382,Finance,Engineer,15000,97.0,Mid Level,Excellent,Pune,Maharashtra
521,Employee_521,Marketing,Engineer,45000,92.0,Mid Level,Excellent,Jaipur,Maharashtra
565,Employee_565,HR,Engineer,15000,97.0,Junior,Excellent,Delhi,Rajasthan
697,Employee_697,IT,Engineer,25000,110.0,Senior,Excellent,Delhi,Gujarat
867,Employee_867,Sales,Engineer,25000,97.0,Mid Level,Excellent,Jaipur,Maharashtra
875,Employee_875,HR,Engineer,25000,97.0,Mid Level,Excellent,Ahmedabad,Rajasthan
991,Employee_991,HR,Engineer,70000,97.0,Senior,Excellent,Ahmedabad,Rajasthan
1015,Employee_1015,Finance,Engineer,70000,110.0,Junior,Excellent,Pune,Delhi
1017,Employee_1017,Finance,Engineer,25000,110.0,Senior,Excellent,Pune,Maharashtra
1025,Employee_1025,Marketing,Engineer,70000,92.0,Mid Level,Excellent,Jaipur,Delhi
1031,Employee_1031,IT,Engineer,25000,97.0,Junior,Excellent,Jaipur,Maharashtra
1307,Employee_1307,Marketing,Engineer,25000,110.0,Mid Level,Excellent,Jaipur,Gujarat
1326,Employee_1326,IT,Engineer,25000,92.0,Mid Level,Excellent,Delhi,Maharashtra
29,Employee_29,HR,Engineer,15000,97.0,Senior,Excellent,Pune,Rajasthan
41,Employee_41,IT,Engineer,15000,92.0,Mid Level,Excellent,Delhi,Gujarat
106,Employee_106,Sales,Engineer,25000,97.0,Junior,Excellent,Mumbai,Delhi
165,Employee_165,Sales,Engineer,25000,92.0,Junior,Excellent,Delhi,Maharashtra
170,Employee_170,Marketing,Engineer,45000,97.0,Junior,Excellent,Ahmedabad,Gujarat
499,Employee_499,Sales,Engineer,25000,97.0,Junior,Excellent,Ahmedabad,Maharashtra
686,Employee_686,IT,Engineer,45000,97.0,Senior,Excellent,Delhi,Maharashtra
700,Employee_700,Marketing,Engineer,15000,92.0,Senior,Excellent,Delhi,Gujarat
765,Employee_765,Sales,Engineer,45000,92.0,Senior,Excellent,Delhi,Maharashtra
797,Employee_797,Sales,Engineer,15000,92.0,Junior,Excellent,Jaipur,Rajasthan
820,Employee_820,HR,Engineer,25000,92.0,Junior,Excellent,Pune,Gujarat
826,Employee_826,Marketing,Engineer,15000,97.0,Junior,Excellent,Delhi,Gujarat
843,Employee_843,Marketing,Engineer,15000,92.0,Junior,Excellent,Pune,Gujarat
851,Employee_851,IT,Engineer,25000,110.0,Mid Level,Excellent,Ahmedabad,Gujarat
884,Employee_884,Sales,Engineer,70000,110.0,Mid Level,Excellent,Jaipur,Delhi
895,Employee_895,IT,Engineer,15000,110.0,Senior,Excellent,Pune,Rajasthan
1053,Employee_1053,HR,Engineer,15000,92.0,Junior,Excellent,Delhi,Rajasthan
1230,Employee_1230,IT,Engineer,25000,92.0,Senior,Excellent,Delhi,Maharashtra
267,Employee_267,Sales,Engineer,70000,92.0,Senior,Excellent,Pune,Rajasthan
447,Employee_447,IT,Engineer,25000,110.0,Junior,Excellent,Pune,Delhi
458,Employee_458,IT,Engineer,70000,97.0,Junior,Excellent,Jaipur,Rajasthan
603,Employee_603,Finance,Engineer,70000,92.0,Junior,Excellent,Delhi,Maharashtra
644,Employee_644,Marketing,Engineer,45000,110.0,Mid Level,Excellent,Delhi,Delhi
648,Employee_648,Sales,Engineer,70000,110.0,Senior,Excellent,Pune,Maharashtra
663,Employee_663,Marketing,Engineer,45000,110.0,Senior,Excellent,Ahmedabad,Gujarat
708,Employee_708,HR,Engineer,45000,92.0,Senior,Excellent,Mumbai,Maharashtra
713,Employee_713,IT,Engineer,15000,92.0,Senior,Excellent,Jaipur,Delhi
723,Employee_723,HR,Engineer,45000,97.0,Junior,Excellent,Ahmedabad,Gujarat
746,Employee_746,Finance,Engineer,70000,92.0,Junior,Excellent,Ahmedabad,Rajasthan
753,Employee_753,Sales,Engineer,45000,92.0,Senior,Excellent,Ahmedabad,Delhi
844,Employee_844,Marketing,Engineer,70000,110.0,Mid Level,Excellent,Ahmedabad,Maharashtra
879,Employee_879,IT,Engineer,15000,97.0,Mid Level,Excellent,Delhi,Gujarat
909,Employee_909,Finance,Engineer,45000,92.0,Junior,Excellent,Delhi,Gujarat
926,Employee_926,IT,Engineer,45000,92.0,Junior,Excellent,Ahmedabad,Delhi
1059,Employee_1059,Finance,Engineer,45000,97.0,Senior,Excellent,Jaipur,Maharashtra
1077,Employee_1077,Marketing,Engineer,45000,110.0,Mid Level,Excellent,Jaipur,Rajasthan
12,Employee_12,HR,Engineer,25000,110.0,Junior,Excellent,Pune,Delhi
56,Employee_56,Sales,Engineer,70000,92.0,Junior,Excellent,Jaipur,Maharashtra
76,Employee_76,Finance,Engineer,45000,110.0,Senior,Excellent,Delhi,Gujarat
119,Employee_119,Sales,Engineer,25000,97.0,Junior,Excellent,Delhi,Gujarat
125,Employee_125,HR,Engineer,45000,92.0,Mid Level,Excellent,Pune,Rajasthan
137,Employee_137,IT,Engineer,45000,110.0,Senior,Excellent,Ahmedabad,Maharashtra
183,Employee_183,Finance,Engineer,45000,92.0,Mid Level,Excellent,Jaipur,Delhi
493,Employee_493,HR,Engineer,45000,97.0,Junior,Excellent,Delhi,Delhi
534,Employee_534,IT,Engineer,45000,97.0,Junior,Excellent,Ahmedabad,Delhi
608,Employee_608,Marketing,Engineer,15000,110.0,Senior,Excellent,Ahmedabad,Delhi
631,Employee_631,HR,Engineer,45000,110.0,Senior,Excellent,Ahmedabad,Rajasthan
710,Employee_710,Marketing,Engineer,15000,92.0,Junior,Excellent,Jaipur,Maharashtra
719,Employee_719,Marketing,Engineer,70000,110.0,Junior,Excellent,Delhi,Delhi
912,Employee_912,Finance,Engineer,70000,110.0,Mid Level,Excellent,Jaipur,Gujarat
982,Employee_982,HR,Engineer,45000,110.0,Junior,Excellent,Jaipur,Maharashtra
1024,Employee_1024,HR,Engineer,70000,110.0,Mid Level,Excellent,Delhi,Gujarat
1064,Employee_1064,Finance,Engineer,15000,110.0,Senior,Excellent,Pune,Rajasthan
1121,Employee_1121,HR,Engineer,15000,92.0,Mid Level,Excellent,Delhi,Gujarat
1149,Employee_1149,HR,Engineer,70000,92.0,Junior,Excellent,Ahmedabad,Maharashtra
1272,Employee_1272,HR,Engineer,70000,97.0,Mid Level,Excellent,Mumbai,Rajasthan
1324,Employee_1324,Sales,Engineer,25000,97.0,Junior,Excellent,Ahmedabad,Maharashtra
30,Employee_30,Finance,Engineer,15000,97.0,Senior,Excellent,Delhi,Delhi
389,Employee_389,IT,Engineer,45000,110.0,Junior,Excellent,Delhi,Delhi
640,Employee_640,Sales,Engineer,70000,97.0,Mid Level,Excellent,Delhi,Gujarat
949,Employee_949,Sales,Engineer,25000,92.0,Junior,Excellent,Delhi,Delhi
1080,Employee_1080,IT,Engineer,45000,92.0,Senior,Excellent,Jaipur,Maharashtra
1086,Employee_1086,Sales,Engineer,15000,110.0,Senior,Excellent,Ahmedabad,Delhi
1104,Employee_1104,HR,Engineer,70000,110.0,Junior,Excellent,Delhi,Gujarat
1,Employee_1,Finance,Engineer,45000,110.0,Senior,Excellent,Pune,Gujarat
78,Employee_78,Sales,Engineer,70000,110.0,Junior,Excellent,Pune,Gujarat
132,Employee_132,Marketing,Engineer,70000,92.0,Mid Level,Excellent,Jaipur,Maharashtra
142,Employee_142,Finance,Engineer,15000,110.0,Junior,Excellent,Ahmedabad,Delhi
190,Employee_190,IT,Engineer,70000,92.0,Mid Level,Excellent,Ahmedabad,Gujarat
254,Employee_254,Finance,Engineer,15000,97.0,Senior,Excellent,Ahmedabad,Gujarat
275,Employee_275,Marketing,Engineer,15000,97.0,Senior,Excellent,Delhi,Rajasthan
402,Employee_402,Sales,Engineer,25000,92.0,Junior,Excellent,Jaipur,Delhi
438,Employee_438,HR,Engineer,15000,92.0,Junior,Excellent,Pune,Maharashtra
456,Employee_456,Sales,Engineer,15000,110.0,Senior,Excellent,Pune,Maharashtra
528,Employee_528,HR,Engineer,45000,92.0,Junior,Excellent,Delhi,Delhi
1140,Employee_1140,Marketing,Engineer,45000,110.0,Mid Level,Excellent,Delhi,Delhi
1145,Employee_1145,Sales,Engineer,15000,110.0,Junior,Excellent,Mumbai,Maharashtra
52,Employee_52,Sales,Engineer,25000,92.0,Mid Level,Excellent,Ahmedabad,Delhi
113,Employee_113,HR,Engineer,25000,92.0,Senior,Excellent,Jaipur,Rajasthan
123,Employee_123,HR,Engineer,25000,97.0,Junior,Excellent,Jaipur,Maharashtra
233,Employee_233,IT,Engineer,70000,97.0,Senior,Excellent,Delhi,Rajasthan
297,Employee_297,HR,Engineer,70000,110.0,Senior,Excellent,Mumbai,Gujarat
331,Employee_331,Sales,Engineer,45000,92.0,Junior,Excellent,Pune,Gujarat
340,Employee_340,Sales,Engineer,45000,97.0,Junior,Excellent,Pune,Rajasthan
341,Employee_341,Sales,Engineer,25000,92.0,Junior,Excellent,Delhi,Gujarat
427,Employee_427,Finance,Engineer,15000,110.0,Junior,Excellent,Jaipur,Rajasthan
476,Employee_476,Finance,Engineer,25000,92.0,Junior,Excellent,Jaipur,Maharashtra
481,Employee_481,Marketing,Engineer,25000,92.0,Mid Level,Excellent,Ahmedabad,Delhi
516,Employee_516,Sales,Engineer,70000,92.0,Junior,Excellent,Mumbai,Gujarat
617,Employee_617,Marketing,Engineer,70000,110.0,Junior,Excellent,Ahmedabad,Maharashtra
832,Employee_832,Marketing,Engineer,70000,97.0,Senior,Excellent,Ahmedabad,Maharashtra
947,Employee_947,Marketing,Engineer,15000,92.0,Junior,Excellent,Delhi,Gujarat
973,Employee_973,Finance,Engineer,25000,110.0,Junior,Excellent,Delhi,Gujarat
1055,Employee_1055,Sales,Engineer,15000,97.0,Junior,Excellent,Jaipur,Maharashtra
1179,Employee_1179,Marketing,Engineer,25000,110.0,Senior,Excellent,Jaipur,Gujarat
1187,Employee_1187,Sales,Engineer,15000,110.0,Junior,Excellent,Ahmedabad,Maharashtra
1191,Employee_1191,Finance,Engineer,25000,92.0,Junior,Excellent,Mumbai,Delhi
1200,Employee_1200,HR,Engineer,15000,110.0,Junior,Excellent,Mumbai,Gujarat
1277,Employee_1277,Finance,Engineer,45000,97.0,Junior,Excellent,Mumbai,Gujarat
1298,Employee_1298,HR,Engineer,70000,110.0,Junior,Excellent,Mumbai,Maharashtra
508,Employee_508,HR,Engineer,25000,92.0,Senior,Excellent,Mumbai,Gujarat
530,Employee_530,IT,Engineer,70000,110.0,Mid Level,Excellent,Delhi,Gujarat
590,Employee_590,HR,Engineer,70000,92.0,Junior,Excellent,Jaipur,Gujarat
740,Employee_740,IT,Engineer,15000,110.0,Junior,Excellent,Jaipur,Delhi
754,Employee_754,Finance,Engineer,45000,110.0,Junior,Excellent,Ahmedabad,Rajasthan
772,Employee_772,Finance,Engineer,25000,92.0,Mid Level,Excellent,Ahmedabad,Gujarat
808,Employee_808,HR,Engineer,15000,97.0,Senior,Excellent,Pune,Gujarat
815,Employee_815,IT,Engineer,45000,92.0,Mid Level,Excellent,Jaipur,Delhi
855,Employee_855,IT,Engineer,70000,92.0,Junior,Excellent,Ahmedabad,Gujarat
898,Employee_898,Sales,Engineer,15000,97.0,Mid Level,Excellent,Jaipur,Gujarat
1076,Employee_1076,Sales,Engineer,25000,92.0,Senior,Excellent,Ahmedabad,Maharashtra
1136,Employee_1136,IT,Engineer,25000,92.0,Senior,Excellent,Ahmedabad,Maharashtra
1313,Employee_1313,Sales,Engineer,45000,92.0,Junior,Excellent,Mumbai,Maharashtra
1319,Employee_1319,IT,Engineer,15000,92.0,Senior,Excellent,Pune,Gujarat
60,Employee_60,Marketing,Engineer,15000,110.0,Junior,Excellent,Delhi,Rajasthan
169,Employee_169,Sales,Engineer,45000,110.0,Junior,Excellent,Delhi,Delhi
195,Employee_195,IT,Engineer,45000,97.0,Mid Level,Excellent,Delhi,Gujarat
225,Employee_225,Marketing,Engineer,15000,92.0,Junior,Excellent,Jaipur,Rajasthan
288,Employee_288,IT,Engineer,25000,110.0,Junior,Excellent,Mumbai,Delhi
328,Employee_328,HR,Engineer,45000,110.0,Senior,Excellent,Jaipur,Gujarat
369,Employee_369,HR,Engineer,70000,97.0,Senior,Excellent,Jaipur,Maharashtra
417,Employee_417,Sales,Engineer,70000,97.0,Junior,Excellent,Delhi,Delhi
463,Employee_463,Sales,Engineer,25000,97.0,Junior,Excellent,Delhi,Delhi
490,Employee_490,IT,Engineer,70000,97.0,Mid Level,Excellent,Mumbai,Delhi
600,Employee_600,IT,Engineer,25000,110.0,Mid Level,Excellent,Pune,Delhi
639,Employee_639,Finance,Engineer,25000,92.0,Junior,Excellent,Ahmedabad,Rajasthan
738,Employee_738,Sales,Engineer,45000,97.0,Senior,Excellent,Delhi,Delhi
829,Employee_829,Finance,Engineer,25000,97.0,Mid Level,Excellent,Mumbai,Gujarat
976,Employee_976,HR,Engineer,45000,97.0,Junior,Excellent,Mumbai,Rajasthan
1009,Employee_1009,Sales,Engineer,15000,92.0,Junior,Excellent,Delhi,Gujarat
1039,Employee_1039,HR,Engineer,70000,97.0,Mid Level,Excellent,Jaipur,Gujarat
1049,Employee_1049,HR,Engineer,25000,92.0,Junior,Excellent,Ahmedabad,Delhi
1129,Employee_1129,Sales,Engineer,70000,92.0,Senior,Excellent,Mumbai,Delhi
1184,Employee_1184,Sales,Engineer,45000,97.0,Junior,Excellent,Delhi,Gujarat
1201,Employee_1201,HR,Engineer,15000,92.0,Mid Level,Excellent,Delhi,Maharashtra
1235,Employee_1235,Finance,Engineer,45000,110.0,Senior,Excellent,Mumbai,Maharashtra
1275,Employee_1275,Sales,Engineer,25000,97.0,Junior,Excellent,Mumbai,Delhi
