emp_id,emp_name,gender,age,department,designation,salary,experience,joining_date,city,state,manager_name,performance_rating,attendance_percentage,active,Experience_Level,attendance_status
759,Employee_759,Female,42,Finance,Engineer,70000,0,2023-03-01,Pune,Rajasthan,Neha,3,92.0,true,Junior,Excellent
784,Employee_784,Male,24,Finance,Executive,25000,0,26/03/2023,Ahmedabad,Delhi,Rohit,3,88.0,false,Junior,Needs Improvement
790,Employee_790,Male,30,Marketing,Manager,15000,0,01/04/2023,Ahmedabad,Maharashtra,Rohit,4,110.0,true,Junior,Excellent
794,Employee_794,Male,36,HR,Engineer,45000,3,04-05-2023,Jaipur,Delhi,Rohit,5,97.0,true,Mid Level,Excellent
809,Employee_809,Male,42,Sales,Engineer,70000,1,04-20-2023,Jaipur,Delhi,Amit,6,92.0,false,Junior,Excellent
841,Employee_841,Male,24,HR,Manager,25000,0,22/05/2023,Delhi,Rajasthan,Neha,5,88.0,false,Junior,Needs Improvement
853,Employee_853,Male,36,HR,Executive,70000,3,03/06/2023,Mumbai,Gujarat,Neha,4,97.0,true,Mid Level,Excellent
857,Employee_857,Male,36,Marketing,Engineer,25000,1,06-07-2023,Mumbai,Maharashtra,Neha,5,110.0,true,Junior,Excellent
877,Employee_877,Female,36,Marketing,Engineer,25000,3,27/06/2023,Jaipur,Gujarat,Rohit,6,97.0,true,Mid Level,Excellent
881,Employee_881,Female,30,Sales,Manager,25000,1,07-01-2023,Mumbai,Rajasthan,Not Assigned,6,97.0,false,Junior,Excellent
883,Employee_883,Male,36,IT,Manager,70000,1,03/07/2023,Mumbai,Rajasthan,Not Assigned,4,92.0,true,Junior,Excellent
913,Employee_913,Male,24,IT,Executive,25000,3,02/08/2023,Mumbai,Gujarat,Amit,4,92.0,true,Mid Level,Excellent
923,Employee_923,Male,36,HR,Manager,45000,3,08-12-2023,Mumbai,Maharashtra,Amit,4,110.0,false,Mid Level,Excellent
981,Employee_981,Female,36,Finance,Manager,45000,3,2023-10-09,Mumbai,Delhi,Amit,5,88.0,true,Mid Level,Needs Improvement
997,Employee_997,Female,36,IT,Engineer,70000,1,25/10/2023,Delhi,Gujarat,Not Assigned,6,92.0,true,Junior,Excellent
1001,Employee_1001,Male,42,Finance,Analyst,25000,0,10-29-2023,Pune,Maharashtra,Neha,3,97.0,true,Junior,Excellent
1010,Employee_1010,Male,25,IT,Engineer,15000,1,11-07-2023,Delhi,Rajasthan,Neha,4,97.0,false,Junior,Excellent
1014,Employee_1014,Male,42,Finance,Analyst,45000,3,2023-11-11,Pune,Gujarat,Rohit,6,88.0,false,Mid Level,Needs Improvement
1034,Employee_1034,Female,25,Sales,Engineer,70000,3,12-01-2023,Delhi,Maharashtra,Not Assigned,4,92.0,true,Mid Level,Excellent
1044,Employee_1044,Female,36,Marketing,Manager,25000,5,2023-12-11,Ahmedabad,Rajasthan,Not Assigned,0,92.0,false,Senior,Excellent
1062,Employee_1062,Male,36,Finance,Manager,25000,3,2023-12-29,Pune,Gujarat,Rohit,0,110.0,false,Mid Level,Excellent
1069,Employee_1069,Female,25,HR,Analyst,15000,5,05/01/2024,Mumbai,Rajasthan,Neha,4,88.0,true,Senior,Needs Improvement
1083,Employee_1083,Female,24,Finance,Engineer,70000,1,2024-01-19,Mumbai,Gujarat,Neha,6,92.0,true,Junior,Excellent
1102,Employee_1102,Male,36,HR,Manager,15000,0,07/02/2024,Jaipur,Delhi,Rohit,4,97.0,true,Junior,Excellent
1122,Employee_1122,Male,25,Finance,Engineer,15000,1,2024-02-27,Jaipur,Maharashtra,Neha,6,92.0,true,Junior,Excellent
1135,Employee_1135,Male,25,Sales,Engineer,70000,3,11/03/2024,Delhi,Rajasthan,Not Assigned,3,97.0,true,Mid Level,Excellent
1167,Employee_1167,Female,42,HR,Engineer,15000,0,2024-04-12,Delhi,Maharashtra,Rohit,4,97.0,false,Junior,Excellent
1207,Employee_1207,Male,24,Marketing,Executive,70000,5,22/05/2024,Delhi,Rajasthan,Neha,5,88.0,true,Senior,Needs Improvement
1261,Employee_1261,Female,24,Finance,Manager,45000,0,15/07/2024,Pune,Delhi,Neha,4,88.0,true,Junior,Needs Improvement
1266,Employee_1266,Female,25,IT,Engineer,70000,5,2024-07-20,Mumbai,Gujarat,Neha,5,97.0,false,Senior,Excellent
1276,Employee_1276,Male,25,HR,Engineer,45000,5,30/07/2024,Mumbai,Rajasthan,Rohit,3,88.0,true,Senior,Needs Improvement
1282,Employee_1282,Female,25,IT,Analyst,15000,1,05/08/2024,Delhi,Delhi,Neha,3,92.0,true,Junior,Excellent
1310,Employee_1310,Female,25,Finance,Manager,45000,3,09-02-2024,Delhi,Maharashtra,Not Assigned,5,97.0,true,Mid Level,Excellent
1314,Employee_1314,Male,30,Marketing,Analyst,45000,3,2024-09-06,Delhi,Delhi,Not Assigned,0,88.0,false,Mid Level,Needs Improvement
1321,Employee_1321,Female,25,Finance,Manager,25000,5,13/09/2024,Mumbai,Maharashtra,Neha,4,92.0,false,Senior,Excellent
7,Employee_7,Male,30,Sales,Executive,25000,5,08/01/2023,Mumbai,Delhi,Rohit,6,110.0,false,Senior,Excellent
28,Employee_28,Male,42,Marketing,Executive,15000,1,29/01/2023,Ahmedabad,Gujarat,Amit,4,92.0,true,Junior,Excellent
32,Employee_32,Female,42,Finance,Engineer,25000,5,02-02-2023,Ahmedabad,Maharashtra,Neha,4,92.0,true,Senior,Excellent
37,Employee_37,Male,24,Sales,Engineer,70000,3,07/02/2023,Delhi,Gujarat,Not Assigned,4,92.0,true,Mid Level,Excellent
46,Employee_46,Female,36,IT,Executive,25000,0,16/02/2023,Delhi,Maharashtra,Neha,6,110.0,true,Junior,Excellent
47,Employee_47,Male,42,Finance,Manager,25000,0,02-17-2023,Mumbai,Delhi,Amit,5,88.0,false,Junior,Needs Improvement
53,Employee_53,Male,25,HR,Executive,25000,5,02-23-2023,Ahmedabad,Rajasthan,Not Assigned,4,110.0,false,Senior,Excellent
54,Employee_54,Female,24,Finance,Executive,45000,0,2023-02-24,Ahmedabad,Maharashtra,Neha,0,97.0,false,Junior,Excellent
72,Employee_72,Male,25,HR,Analyst,15000,3,2023-03-14,Ahmedabad,Delhi,Not Assigned,0,92.0,false,Mid Level,Excellent
99,Employee_99,Female,42,Finance,Engineer,70000,5,2023-04-10,Mumbai,Gujarat,Amit,6,88.0,true,Senior,Needs Improvement
104,Employee_104,Male,25,IT,Analyst,45000,3,04-15-2023,Jaipur,Delhi,Rohit,5,97.0,true,Mid Level,Excellent
107,Employee_107,Male,30,Marketing,Executive,15000,0,04-18-2023,Delhi,Maharashtra,Rohit,4,97.0,true,Junior,Excellent
111,Employee_111,Female,25,HR,Analyst,15000,1,2023-04-22,Delhi,Gujarat,Amit,4,110.0,true,Junior,Excellent
118,Employee_118,Male,24,Marketing,Analyst,45000,5,29/04/2023,Jaipur,Gujarat,Neha,4,88.0,false,Senior,Needs Improvement
129,Employee_129,Female,25,IT,Engineer,15000,1,2023-05-10,Ahmedabad,Gujarat,Neha,6,97.0,true,Junior,Excellent
146,Employee_146,Male,30,Marketing,Analyst,25000,3,05-27-2023,Pune,Delhi,Amit,3,88.0,true,Mid Level,Needs Improvement
166,Employee_166,Male,24,HR,Analyst,15000,5,16/06/2023,Pune,Rajasthan,Neha,4,97.0,false,Senior,Excellent
198,Employee_198,Female,30,HR,Manager,70000,0,2023-07-18,Delhi,Gujarat,Neha,0,92.0,true,Junior,Excellent
217,Employee_217,Male,25,Sales,Manager,25000,1,06/08/2023,Mumbai,Rajasthan,Amit,5,110.0,true,Junior,Excellent
224,Employee_224,Male,24,IT,Executive,15000,3,08-13-2023,Mumbai,Rajasthan,Neha,4,110.0,false,Mid Level,Excellent
244,Employee_244,Male,30,HR,Analyst,25000,1,02/09/2023,Delhi,Gujarat,Not Assigned,4,92.0,false,Junior,Excellent
256,Employee_256,Male,36,Finance,Analyst,45000,5,14/09/2023,Delhi,Delhi,Rohit,4,110.0,false,Senior,Excellent
279,Employee_279,Male,30,Marketing,Manager,45000,1,2023-10-07,Ahmedabad,Delhi,Neha,5,88.0,true,Junior,Needs Improvement
280,Employee_280,Female,24,Sales,Engineer,45000,1,08/10/2023,Mumbai,Delhi,Amit,6,88.0,true,Junior,Needs Improvement
293,Employee_293,Male,30,IT,Analyst,45000,1,10-21-2023,Pune,Maharashtra,Amit,3,92.0,false,Junior,Excellent
306,Employee_306,Female,30,Finance,Engineer,25000,3,2023-11-03,Mumbai,Maharashtra,Not Assigned,0,88.0,false,Mid Level,Needs Improvement
317,Employee_317,Female,30,HR,Manager,25000,3,11-14-2023,Ahmedabad,Gujarat,Amit,3,88.0,true,Mid Level,Needs Improvement
339,Employee_339,Female,42,Finance,Executive,15000,5,2023-12-06,Delhi,Rajasthan,Neha,3,92.0,true,Senior,Excellent
361,Employee_361,Male,25,IT,Analyst,25000,3,28/12/2023,Delhi,Rajasthan,Neha,6,97.0,false,Mid Level,Excellent
362,Employee_362,Male,30,Sales,Engineer,70000,1,12-29-2023,Mumbai,Maharashtra,Amit,6,92.0,true,Junior,Excellent
363,Employee_363,Female,42,Finance,Manager,15000,5,2023-12-30,Ahmedabad,Rajasthan,Amit,3,97.0,false,Senior,Excellent
367,Employee_367,Male,24,HR,Analyst,70000,0,03/01/2024,Mumbai,Maharashtra,Neha,6,97.0,true,Junior,Excellent
385,Employee_385,Female,30,HR,Analyst,45000,0,21/01/2024,Mumbai,Rajasthan,Rohit,5,88.0,false,Junior,Needs Improvement
407,Employee_407,Female,25,Sales,Manager,70000,3,02-12-2024,Jaipur,Rajasthan,Not Assigned,4,97.0,true,Mid Level,Excellent
423,Employee_423,Male,36,Finance,Executive,25000,3,2024-02-28,Pune,Rajasthan,Rohit,6,110.0,false,Mid Level,Excellent
431,Employee_431,Male,30,Finance,Engineer,70000,1,03-07-2024,Pune,Rajasthan,Not Assigned,4,97.0,false,Junior,Excellent
439,Employee_439,Female,25,IT,Manager,70000,1,15/03/2024,Jaipur,Rajasthan,Neha,5,88.0,true,Junior,Needs Improvement
444,Employee_444,Female,24,HR,Manager,45000,3,2024-03-20,Pune,Delhi,Neha,4,97.0,false,Mid Level,Excellent
445,Employee_445,Female,25,Finance,Executive,70000,1,21/03/2024,Jaipur,Maharashtra,Not Assigned,3,92.0,true,Junior,Excellent
454,Employee_454,Male,25,IT,Analyst,70000,3,30/03/2024,Pune,Maharashtra,Amit,3,88.0,true,Mid Level,Needs Improvement
503,Employee_503,Female,36,HR,Executive,25000,3,05-18-2024,Pune,Delhi,Not Assigned,5,88.0,true,Mid Level,Needs Improvement
511,Employee_511,Female,36,IT,Analyst,15000,5,26/05/2024,Delhi,Maharashtra,Rohit,4,97.0,true,Senior,Excellent
538,Employee_538,Female,42,Finance,Analyst,45000,1,22/06/2024,Delhi,Rajasthan,Rohit,3,88.0,false,Junior,Needs Improvement
545,Employee_545,Male,42,HR,Executive,15000,0,06-29-2024,Jaipur,Gujarat,Amit,3,110.0,true,Junior,Excellent
550,Employee_550,Female,25,HR,Executive,25000,0,04/07/2024,Pune,Gujarat,Not Assigned,3,97.0,false,Junior,Excellent
554,Employee_554,Female,24,Finance,Analyst,45000,5,07-08-2024,Jaipur,Rajasthan,Rohit,4,97.0,true,Senior,Excellent
572,Employee_572,Male,24,IT,Executive,25000,3,07-26-2024,Jaipur,Gujarat,Rohit,6,92.0,true,Mid Level,Excellent
575,Employee_575,Male,30,Marketing,Analyst,15000,5,07-29-2024,Mumbai,Delhi,Not Assigned,3,88.0,false,Senior,Needs Improvement
587,Employee_587,Female,24,HR,Executive,70000,5,08-10-2024,Pune,Delhi,Rohit,3,97.0,true,Senior,Excellent
591,Employee_591,Female,24,HR,Executive,70000,5,2024-08-14,Jaipur,Gujarat,Rohit,3,92.0,true,Senior,Excellent
592,Employee_592,Male,36,IT,Manager,15000,0,15/08/2024,Mumbai,Gujarat,Neha,4,97.0,false,Junior,Excellent
594,Employee_594,Male,25,IT,Analyst,45000,3,2024-08-17,Delhi,Maharashtra,Neha,0,88.0,true,Mid Level,Needs Improvement
602,Employee_602,Female,25,HR,Executive,70000,0,08-25-2024,Jaipur,Delhi,Not Assigned,6,92.0,false,Junior,Excellent
611,Employee_611,Male,42,HR,Engineer,45000,1,09-03-2024,Mumbai,Maharashtra,Not Assigned,3,88.0,false,Junior,Needs Improvement
621,Employee_621,Male,42,HR,Engineer,70000,0,2024-09-13,Pune,Gujarat,Not Assigned,4,97.0,false,Junior,Excellent
671,Employee_671,Female,25,HR,Manager,25000,5,11-02-2024,Ahmedabad,Rajasthan,Neha,6,92.0,true,Senior,Excellent
681,Employee_681,Female,30,Marketing,Manager,70000,5,2024-11-12,Jaipur,Rajasthan,Not Assigned,5,92.0,false,Senior,Excellent
726,Employee_726,Female,24,IT,Analyst,25000,1,2023-01-27,Ahmedabad,Maharashtra,Rohit,6,110.0,false,Junior,Excellent
727,Employee_727,Male,30,Sales,Executive,25000,3,28/01/2023,Jaipur,Rajasthan,Amit,4,88.0,true,Mid Level,Needs Improvement
729,Employee_729,Female,24,Sales,Analyst,25000,3,2023-01-30,Mumbai,Rajasthan,Rohit,6,110.0,true,Mid Level,Excellent
732,Employee_732,Female,30,Finance,Manager,15000,0,2023-02-02,Ahmedabad,Maharashtra,Not Assigned,5,88.0,false,Junior,Needs Improvement
734,Employee_734,Female,30,Marketing,Executive,25000,5,02-04-2023,Jaipur,Delhi,Neha,6,97.0,true,Senior,Excellent
776,Employee_776,Female,25,IT,Executive,15000,0,03-18-2023,Ahmedabad,Maharashtra,Neha,6,97.0,false,Junior,Excellent
810,Employee_810,Female,36,Finance,Manager,45000,1,2023-04-21,Jaipur,Delhi,Amit,0,92.0,true,Junior,Excellent
824,Employee_824,Female,30,Marketing,Manager,45000,1,05-05-2023,Ahmedabad,Gujarat,Neha,6,88.0,false,Junior,Needs Improvement
919,Employee_919,Female,30,HR,Manager,15000,5,08/08/2023,Pune,Rajasthan,Neha,3,110.0,false,Senior,Excellent
961,Employee_961,Male,25,Sales,Analyst,45000,5,19/09/2023,Jaipur,Maharashtra,Amit,6,97.0,true,Senior,Excellent
972,Employee_972,Female,36,IT,Engineer,70000,5,2023-09-30,Mumbai,Rajasthan,Neha,0,110.0,true,Senior,Excellent
979,Employee_979,Male,42,HR,Analyst,25000,5,07/10/2023,Ahmedabad,Maharashtra,Amit,5,97.0,false,Senior,Excellent
1028,Employee_1028,Male,30,Sales,Executive,45000,1,11-25-2023,Jaipur,Rajasthan,Amit,4,97.0,true,Junior,Excellent
1046,Employee_1046,Female,36,Marketing,Engineer,70000,5,12-13-2023,Delhi,Delhi,Neha,4,110.0,false,Senior,Excellent
1054,Employee_1054,Female,30,Marketing,Manager,70000,1,21/12/2023,Mumbai,Delhi,Amit,5,97.0,true,Junior,Excellent
1081,Employee_1081,Male,25,HR,Manager,45000,1,17/01/2024,Jaipur,Delhi,Neha,6,88.0,true,Junior,Needs Improvement
1084,Employee_1084,Male,25,Finance,Analyst,45000,0,20/01/2024,Ahmedabad,Delhi,Amit,5,88.0,false,Junior,Needs Improvement
1106,Employee_1106,Female,25,IT,Manager,45000,1,02-11-2024,Ahmedabad,Rajasthan,Not Assigned,6,92.0,true,Junior,Excellent
1110,Employee_1110,Female,42,Marketing,Executive,70000,0,2024-02-15,Pune,Maharashtra,Amit,4,92.0,true,Junior,Excellent
1131,Employee_1131,Female,36,IT,Engineer,70000,5,2024-03-07,Pune,Delhi,Amit,3,110.0,true,Senior,Excellent
1139,Employee_1139,Female,42,HR,Executive,70000,3,03-15-2024,Jaipur,Delhi,Rohit,3,110.0,false,Mid Level,Excellent
1150,Employee_1150,Male,42,Sales,Analyst,15000,5,26/03/2024,Pune,Gujarat,Rohit,4,88.0,false,Senior,Needs Improvement
1158,Employee_1158,Female,30,HR,Manager,15000,5,2024-04-03,Pune,Delhi,Amit,4,88.0,true,Senior,Needs Improvement
1165,Employee_1165,Female,30,IT,Analyst,25000,5,10/04/2024,Jaipur,Gujarat,Not Assigned,4,88.0,false,Senior,Needs Improvement
1172,Employee_1172,Female,25,HR,Engineer,45000,0,04-17-2024,Delhi,Maharashtra,Rohit,3,97.0,false,Junior,Excellent
1214,Employee_1214,Male,36,HR,Analyst,45000,5,05-29-2024,Ahmedabad,Gujarat,Not Assigned,4,92.0,false,Senior,Excellent
1220,Employee_1220,Female,24,Sales,Executive,25000,1,06-04-2024,Ahmedabad,Delhi,Amit,4,92.0,false,Junior,Excellent
1242,Employee_1242,Female,24,HR,Analyst,45000,1,2024-06-26,Mumbai,Rajasthan,Amit,0,110.0,true,Junior,Excellent
1246,Employee_1246,Male,42,Finance,Executive,15000,1,30/06/2024,Mumbai,Maharashtra,Not Assigned,6,88.0,true,Junior,Needs Improvement
1262,Employee_1262,Female,24,Marketing,Analyst,70000,3,07-16-2024,Delhi,Maharashtra,Rohit,5,92.0,false,Mid Level,Excellent
1294,Employee_1294,Male,25,Sales,Executive,25000,1,17/08/2024,Jaipur,Maharashtra,Not Assigned,5,110.0,false,Junior,Excellent
1303,Employee_1303,Female,24,Marketing,Executive,45000,5,26/08/2024,Ahmedabad,Rajasthan,Not Assigned,6,97.0,true,Senior,Excellent
1328,Employee_1328,Female,30,IT,Analyst,70000,1,09-20-2024,Pune,Maharashtra,Rohit,3,110.0,false,Junior,Excellent
10,Employee_10,Female,36,Sales,Engineer,25000,5,11/01/2023,Jaipur,Rajasthan,Not Assigned,6,92.0,false,Senior,Excellent
14,Employee_14,Female,24,Sales,Engineer,70000,3,01-15-2023,Pune,Delhi,Amit,6,88.0,false,Mid Level,Needs Improvement
20,Employee_20,Male,24,Sales,Analyst,15000,1,01-21-2023,Mumbai,Rajasthan,Rohit,5,88.0,false,Junior,Needs Improvement
23,Employee_23,Male,25,Marketing,Engineer,25000,5,01-24-2023,Pune,Maharashtra,Amit,5,92.0,false,Senior,Excellent
45,Employee_45,Female,36,Finance,Manager,45000,1,2023-02-15,Jaipur,Maharashtra,Neha,3,97.0,false,Junior,Excellent
48,Employee_48,Male,24,HR,Analyst,70000,1,2023-02-18,Pune,Maharashtra,Not Assigned,4,92.0,false,Junior,Excellent
66,Employee_66,Female,42,IT,Executive,45000,1,2023-03-08,Ahmedabad,Maharashtra,Rohit,3,97.0,false,Junior,Excellent
68,Employee_68,Male,30,Marketing,Engineer,45000,5,03-10-2023,Delhi,Gujarat,Not Assigned,4,92.0,true,Senior,Excellent
121,Employee_121,Male,42,Sales,Executive,15000,1,02/05/2023,Jaipur,Maharashtra,Not Assigned,4,92.0,true,Junior,Excellent
131,Employee_131,Female,42,Finance,Analyst,25000,5,05-12-2023,Ahmedabad,Rajasthan,Not Assigned,6,110.0,true,Senior,Excellent
138,Employee_138,Female,30,Finance,Engineer,70000,5,2023-05-19,Ahmedabad,Delhi,Not Assigned,3,110.0,true,Senior,Excellent
140,Employee_140,Male,30,IT,Analyst,25000,5,05-21-2023,Pune,Gujarat,Neha,5,97.0,true,Senior,Excellent
158,Employee_158,Female,30,IT,Engineer,45000,0,06-08-2023,Pune,Rajasthan,Not Assigned,5,92.0,true,Junior,Excellent
176,Employee_176,Female,30,IT,Executive,45000,0,06-26-2023,Pune,Delhi,Not Assigned,3,92.0,true,Junior,Excellent
197,Employee_197,Female,30,Marketing,Analyst,45000,5,07-17-2023,Delhi,Delhi,Not Assigned,4,110.0,false,Senior,Excellent
199,Employee_199,Female,24,Marketing,Executive,45000,5,19/07/2023,Ahmedabad,Maharashtra,Amit,6,88.0,true,Senior,Needs Improvement
204,Employee_204,Male,36,IT,Manager,15000,5,2023-07-24,Ahmedabad,Delhi,Amit,6,97.0,true,Senior,Excellent
239,Employee_239,Female,30,IT,Executive,45000,0,08-28-2023,Pune,Maharashtra,Neha,5,88.0,true,Junior,Needs Improvement
250,Employee_250,Male,30,HR,Engineer,25000,1,08/09/2023,Pune,Gujarat,Amit,3,97.0,true,Junior,Excellent
269,Employee_269,Male,30,Finance,Analyst,25000,3,09-27-2023,Pune,Rajasthan,Rohit,6,92.0,false,Mid Level,Excellent
282,Employee_282,Female,24,Sales,Executive,25000,0,2023-10-10,Mumbai,Delhi,Not Assigned,4,97.0,true,Junior,Excellent
287,Employee_287,Female,25,Marketing,Executive,25000,3,10-15-2023,Pune,Rajasthan,Neha,5,97.0,false,Mid Level,Excellent
316,Employee_316,Male,36,IT,Manager,25000,0,13/11/2023,Delhi,Gujarat,Rohit,3,88.0,false,Junior,Needs Improvement
322,Employee_322,Female,30,HR,Executive,15000,1,19/11/2023,Jaipur,Delhi,Neha,3,88.0,true,Junior,Needs Improvement
329,Employee_329,Female,42,Sales,Engineer,70000,0,11-26-2023,Ahmedabad,Rajasthan,Rohit,4,88.0,false,Junior,Needs Improvement
335,Employee_335,Female,30,Sales,Engineer,25000,3,12-02-2023,Pune,Delhi,Rohit,6,97.0,false,Mid Level,Excellent
372,Employee_372,Male,42,HR,Manager,25000,0,2024-01-08,Mumbai,Maharashtra,Amit,6,92.0,true,Junior,Excellent
383,Employee_383,Female,30,Sales,Engineer,15000,0,01-19-2024,Ahmedabad,Gujarat,Neha,3,92.0,false,Junior,Excellent
392,Employee_392,Female,30,IT,Engineer,45000,0,01-28-2024,Mumbai,Delhi,Neha,3,88.0,false,Junior,Needs Improvement
421,Employee_421,Male,42,HR,Engineer,15000,5,26/02/2024,Mumbai,Gujarat,Neha,5,110.0,false,Senior,Excellent
433,Employee_433,Male,30,HR,Engineer,70000,0,09/03/2024,Mumbai,Gujarat,Amit,6,88.0,false,Junior,Needs Improvement
442,Employee_442,Female,24,Marketing,Manager,25000,0,18/03/2024,Mumbai,Maharashtra,Not Assigned,6,88.0,false,Junior,Needs Improvement
472,Employee_472,Female,30,HR,Engineer,15000,1,17/04/2024,Delhi,Maharashtra,Amit,6,110.0,false,Junior,Excellent
541,Employee_541,Female,36,HR,Engineer,25000,3,25/06/2024,Delhi,Delhi,Rohit,3,110.0,false,Mid Level,Excellent
